Araba,Modeli,Ses,Ağırlık,CO2
toyota,Aygo,1,790,99
mitsubishi,uzay yıldızı,1.2,1160,95
skoda,citigo,1,929,95
Fiat,500,0.9,865,90
Mini,Cooper,1.5,1140,105
vw,Yukarı!,1,929,105
skoda,fabia,1.4,1109,90
mercedes,Bir sınıf,1.5,1365,92
ford,Fiesta,1.5,1112,98
audi,A1,1.6,1150,99
hyundai,ben20,1.1,980,99
Suzuki,Süratli,1.3,990,101
ford,Fiesta,1,1112,99
honda,sivil,1.6,1252,94
Hundai,I30,1.6,1326,97
Opel,Astra,1.6,1330,97
BMW,1,1.6,1365,99
mazda,3,2.2,1280,104
skoda,Ani,1.6,1119,104
ford,Odak,2,1328,105
ford,mondeo,1.6,1584,94
Opel,amblem,2,1428,99
mercedes,C Sınıfı,2.1,1365,99
skoda,Octavia,1.6,1415,99
volvo,S60,2,1415,99
mercedes,CLA,1.5,1465,102
audi,A4,2,1490,104
audi,A6,2,1725,114
volvo,V70,1.6,1523,109
BMW,5,2,1705,114
mercedes,E Sınıfı,2.1,1605,115
volvo,XC70,2,1746,117
ford,B-maks,1.6,1235,104
BMW,2,1.6,1390,108
Opel,zafira,1.6,1405,109
mercedes,SLK,2.5,1395,120
